date,avgMaxTempNapa,avgMinTempNapa,avgMaxTempWalla,avgMinTempWalla,avgMaxTempColumbia,avgMinTempColumbia,avgMaxTempSonoma,avgMinTempSonoma,avgMaxTempSanta,avgMinTempSanta,avgMaxTempYakima,avgMinTempYakima,avgMaxTempDundee,avgMinTempDundee,avgMaxTempWillamette,avgMinTempWillamette
1992-01-02,58.0,34.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,47.0,39.0,50.0,40.0
1992-01-02,58.0,34.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,47.0,39.0,50.0,40.0
1992-01-02,58.0,34.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,47.0,39.0,50.0,40.0
1992-01-02,58.0,34.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,47.0,39.0,50.0,40.0
1992-01-02,58.0,34.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,47.0,39.0,50.0,40.0
1992-01-02,58.0,34.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,47.0,39.0,50.0,40.0
1992-01-03,58.0,34.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,42.0,34.0,51.0,41.0
1992-01-03,58.0,34.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,42.0,34.0,51.0,41.0
1992-01-03,58.0,34.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,42.0,34.0,51.0,41.0
1992-01-03,58.0,34.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,42.0,34.0,51.0,41.0
1992-01-03,58.0,34.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,42.0,34.0,51.0,41.0
1992-01-03,58.0,34.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,42.0,34.0,51.0,41.0
1992-01-04,57.0,50.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,41.0,35.0,52.0,41.0
1992-01-04,57.0,50.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,41.0,35.0,52.0,41.0
1992-01-04,57.0,50.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,41.0,35.0,52.0,41.0
1992-01-04,57.0,50.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,41.0,35.0,52.0,41.0
1992-01-04,57.0,50.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,41.0,35.0,52.0,41.0
1992-01-04,57.0,50.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,41.0,35.0,52.0,41.0
1992-01-05,56.0,46.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,38.0,32.0,46.0,40.0
1992-01-05,56.0,46.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,38.0,32.0,46.0,40.0
1992-01-05,56.0,46.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,38.0,32.0,46.0,40.0
1992-01-05,56.0,46.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,38.0,32.0,46.0,40.0
1992-01-05,56.0,46.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,38.0,32.0,46.0,40.0
1992-01-05,56.0,46.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,38.0,32.0,46.0,40.0
1992-01-06,53.0,45.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,38.0,32.0,46.0,38.0
1992-01-06,53.0,45.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,38.0,32.0,46.0,38.0
1992-01-06,53.0,45.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,38.0,32.0,46.0,38.0
1992-01-06,53.0,45.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,38.0,32.0,46.0,38.0
1992-01-06,53.0,45.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,38.0,32.0,46.0,38.0
1992-01-06,53.0,45.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,38.0,32.0,46.0,38.0
1992-01-07,52.0,43.0,34.0,28.0,31.0,14.0,53.0,42.0,52.0,41.0,37.0,19.0,42.0,32.0,44.0,27.0
1992-01-07,52.0,43.0,34.0,28.0,31.0,14.0,53.0,42.0,52.0,41.0,37.0,19.0,42.0,32.0,44.0,27.0
1992-01-07,52.0,43.0,34.0,28.0,31.0,14.0,53.0,42.0,52.0,41.0,37.0,19.0,42.0,32.0,44.0,27.0
