index,PRCPNapa,PRCPWalla,PRCPColumbia,PRCPSonoma,PRCPSanta,PRCPYakima,PRCPDundee,PRCPWillamette,year,months
0,0.06886075949367088,0.050506329113924046,0.024430379746835446,0.06873417721518986,0.0937974683544304,0.008734177215189874,0.4032911392405063,0.1608860759493671,1992,January
1,0.26358974358974346,0.04756410256410256,0.014102564102564106,0.3471794871794872,0.40782051282051274,0.02243589743589744,0.2470512820512821,0.151025641025641,1992,February
2,0.1380645161290322,0.015806451612903224,0.005161290322580648,0.2261290322580644,0.14032258064516132,0.013225806451612908,0.04354838709677417,0.02870967741935483,1992,March
3,0.021,0.06766666666666667,0.028000000000000004,0.029999999999999978,0.009333333333333336,0.031999999999999994,0.2666666666666666,0.14500000000000007,1992,April
4,0.0,0.008387096774193548,0.0003225806451612903,0.0,0.0,0.0012903225806451613,0.0012903225806451613,0.0016129032258064518,1992,May
5,0.036333333333333336,0.04566666666666667,0.05399999999999997,0.030666666666666665,0.018333333333333333,0.041666666666666664,0.02766666666666666,0.037333333333333336,1992,June
6,0.0,0.2056521739130435,0.0991304347826087,0.0,0.0,0.019130434782608695,0.019999999999999997,0.02173913043478261,1992,July
7,,,,,,,,,1992,August
8,,,,,,,,,1992,September
9,,,,,,,,,1992,October
10,,,,,,,,,1992,November
11,,,,,,,,,1992,December
12,0.3153658536585366,0.06890243902439022,0.03280487804878047,0.3814634146341463,0.49536585365853664,0.03146341463414633,0.2964634146341465,0.1640243902439024,1993,January
13,0.21209876543209877,0.03987654320987651,0.021851851851851848,0.2741975308641975,0.28753086419753093,0.024444444444444446,0.08111111111111109,0.05876543209876544,1993,February
14,0.06439560439560439,0.06593406593406592,0.01153846153846154,0.0848351648351648,0.10945054945054944,0.02043956043956044,0.2502197802197803,0.1687912087912088,1993,March
15,0.051333333333333335,0.128,0.055666666666666656,0.050666666666666665,0.04566666666666666,0.01666666666666667,0.3403333333333334,0.18799999999999994,1993,April
16,0.04428571428571428,0.07857142857142854,0.011785714285714285,0.06892857142857144,0.030000000000000006,0.013214285714285718,0.12571428571428567,0.09857142857142856,1993,May
17,0.023666666666666662,0.07499999999999997,0.055666666666666656,0.02933333333333334,0.01866666666666667,0.023999999999999997,0.10099999999999996,0.10566666666666664,1993,June
18,0.0,0.08106060606060604,0.11424242424242421,0.0,0.0,0.0060606060606060615,0.023333333333333334,0.03590909090909091,1993,July
19,,,,,,,,,1993,August
20,,,,,,,,,1993,September
21,,,,,,,,,1993,October
22,,,,,,,,,1993,November
23,,,,,,,,,1993,December
24,0.09023809523809526,0.03059523809523809,0.01142857142857143,0.11488095238095239,0.0925,0.008809523809523814,0.21214285714285713,0.07928571428571426,1994,January
25,0.10623376623376625,0.05727272727272729,0.0327272727272727,0.16220779220779222,0.23974025974025961,0.04077922077922079,0.42480519480519474,0.15636363636363634,1994,February
26,0.006333333333333334,0.031999999999999994,0.005888888888888889,0.007666666666666666,0.02466666666666667,0.001,0.1853333333333332,0.07933333333333335,1994,March
27,0.04129411764705883,0.031294117647058826,0.04682352941176469,0.043764705882352935,0.0571764705882353,0.027058823529411764,0.1334117647058824,0.07376470588235294,1994,April
28,0.05064516129032257,0.08870967741935486,0.02225806451612903,0.04419354838709678,0.06387096774193547,0.0393548387096774,0.07064516129032254,0.051935483870967726,1994,May
29,0.0013333333333333333,0.027999999999999994,0.026666666666666672,0.001666666666666667,0.0,0.022000000000000013,0.06633333333333329,0.03799999999999999,1994,June
30,0.0,0.021549295774647887,0.0004225352112676056,0.0,0.0,0.0021126760563380284,0.0,0.0,1994,July
31,,,,,,,,,1994,August
32,,,,,,,,,1994,September
33,,,,,,,,,1994,October
34,,,,,,,,,1994,November
35,,,,,,,,,1994,December
36,0.4550666666666668,0.10506666666666664,0.1390666666666667,0.6544000000000001,0.6012000000000002,0.11826666666666663,0.6018666666666667,0.2872,1995,January
37,0.021267605633802825,0.04732394366197181,0.010985915492957746,0.03211267605633803,0.019154929577464792,0.010845070422535212,0.29718309859154934,0.17253521126760563,1995,February
38,0.37396226415094336,0.0732075471698113,0.08962264150943394,0.42981132075471706,0.2843396226415094,0.04490566037735848,0.34226415094339624,0.1262264150943396,1995,March
39,0.042,0.08566666666666665,0.018666666666666668,0.04433333333333334,0.171,0.060999999999999985,0.23133333333333328,0.14699999999999996,1995,April
40,0.09999999999999999,0.035483870967741936,0.015806451612903227,0.06096774193548388,0.0432258064516129,0.020000000000000004,0.04935483870967741,0.04161290322580644,1995,May
41,0.030000000000000002,0.07233333333333336,0.03833333333333334,0.034666666666666665,0.051333333333333335,0.02066666666666667,0.060666666666666653,0.049333333333333326,1995,June
42,0.0,0.021935483870967745,0.0067741935483870966,0.0,0.0,0.022258064516129033,0.025483870967741937,0.011612903225806452,1995,July
43,0.0,0.028387096774193554,0.0058064516129032245,0.0,0.0,0.004516129032258065,0.029032258064516127,0.04161290322580646,1995,August
44,0.0,0.029666666666666678,0.010666666666666668,0.0,0.0,0.02466666666666667,0.07600000000000003,0.060333333333333315,1995,September
45,0.0,0.07161290322580646,0.011612903225806454,0.0,0.0,0.00870967741935484,0.17548387096774196,0.13129032258064513,1995,October
46,0.04,0.0,0.0,0.05666666666666667,0.06333333333333334,0.0,0.0,0.0,1995,November
47,,,,,,,,,1995,December
48,0.2563829787234042,0.10680851063829784,0.0372340425531915,0.27595744680851064,0.2661702127659574,0.03957446808510639,0.486595744680851,0.23787234042553196,1996,January
49,0.37591836734693873,0.08,0.06285714285714286,0.31795918367346926,0.34285714285714286,0.07265306122448978,0.8208163265306128,0.49183673469387756,1996,February
50,0.09399999999999999,0.027600000000000006,0.014000000000000002,0.10439999999999999,0.1252,0.0228,0.13440000000000002,0.11519999999999998,1996,March
51,0.12699999999999997,0.08166666666666669,0.015333333333333336,0.11633333333333337,0.05266666666666665,0.007333333333333334,0.5233333333333333,0.19066666666666668,1996,April
52,0.12,0.058387096774193535,0.04064516129032259,0.10870967741935483,0.07838709677419355,0.04,0.16290322580645158,0.10354838709677419,1996,May
53,0.0,0.034333333333333334,0.007666666666666668,0.0,0.0,0.0013333333333333333,0.030666666666666665,0.024666666666666667,1996,June
54,0.0,0.0003225806451612903,0.0074193548387096785,0.0,0.0,0.015483870967741935,0.024838709677419354,0.029032258064516127,1996,July
55,0.0,0.0016129032258064516,0.0,0.0,0.0,0.0006451612903225806,0.006129032258064516,0.0064516129032258064,1996,August
56,0.001,0.021333333333333333,0.016666666666666666,0.005666666666666667,0.0,0.012000000000000004,0.11266666666666666,0.06466666666666666,1996,September
57,0.06258064516129033,0.06193548387096774,0.012258064516129033,0.07,0.07870967741935483,0.017741935483870968,0.2409677419354839,0.15419354838709676,1996,October
58,0.09,0.11822222222222224,0.044222222222222225,0.10000000000000002,0.22177777777777774,0.09688888888888887,0.3891111111111111,0.33822222222222215,1996,November
59,0.41,0.09071428571428572,0.13857142857142857,0.42571428571428566,0.5771428571428572,0.0942857142857143,0.9521428571428572,0.4828571428571428,1996,December
60,0.21403508771929816,0.05263157894736844,0.027719298245614043,0.22912280701754387,0.21912280701754386,0.03333333333333334,0.33789473684210525,0.24315789473684205,1997,January
61,0.01642857142857143,0.034285714285714294,0.025,0.02321428571428572,0.010357142857142858,0.0067857142857142855,0.16107142857142853,0.07428571428571429,1997,February
62,0.026271186440677965,0.05203389830508474,0.025593220338983053,0.026949152542372887,0.03728813559322034,0.01677966101694915,0.42440677966101703,0.20999999999999994,1997,March
63,0.019000000000000006,0.07466666666666666,0.027000000000000003,0.026000000000000006,0.023333333333333334,0.009666666666666667,0.18066666666666661,0.11366666666666664,1997,April
64,0.025483870967741937,0.023548387096774197,0.03903225806451613,0.012580645161290323,0.0022580645161290325,0.007096774193548387,0.1174193548387097,0.08741935483870968,1997,May
65,0.007666666666666666,0.03200000000000001,0.041,0.009000000000000001,0.006333333333333333,0.029666666666666668,0.06833333333333333,0.06200000000000001,1997,June
66,0.0,0.021290322580645157,0.02838709677419355,0.0,0.0,0.0012903225806451613,0.0074193548387096785,0.01161290322580645,1997,July
67,0.026451612903225806,0.0,0.006129032258064518,0.032903225806451615,0.014516129032258063,0.007096774193548388,0.05258064516129033,0.03645161290322581,1997,August
68,0.001,0.04799999999999998,0.020666666666666667,0.007,0.0003333333333333333,0.008000000000000002,0.22666666666666666,0.12700000000000003,1997,September
69,0.04064516129032257,0.05290322580645162,0.049999999999999996,0.04032258064516129,0.015161290322580647,0.05548387096774194,0.4590322580645162,0.20806451612903226,1997,October
70,0.2650000000000001,0.04466666666666667,0.038,0.24933333333333332,0.31966666666666665,0.03766666666666666,0.44266666666666676,0.14666666666666664,1997,November
71,0.18153846153846154,0.02923076923076923,0.005384615384615385,0.2769230769230769,0.14384615384615385,0.013846153846153845,0.045384615384615384,0.030000000000000002,1997,December
72,0.28241379310344833,0.08706896551724133,0.09413793103448276,0.3989655172413793,0.5127586206896553,0.06258620689655169,0.6908620689655173,0.2968965517241379,1998,January
73,0.4940816326530613,0.038163265306122456,0.09,0.6804081632653062,0.6608163265306126,0.054489795918367334,0.4479591836734693,0.21530612244897962,1998,February
74,0.08645161290322581,0.03483870967741936,0.053548387096774196,0.07451612903225807,0.15096774193548387,0.03516129032258065,0.28548387096774186,0.15999999999999998,1998,March
75,0.05166666666666665,0.04100000000000001,0.022333333333333337,0.07833333333333334,0.1036666666666667,0.007000000000000001,0.09199999999999998,0.05433333333333334,1998,April
76,0.09645161290322578,0.0729032258064516,0.06709677419354838,0.1258064516129032,0.12483870967741936,0.03870967741935484,0.14322580645161284,0.17935483870967742,1998,May
