date,avgMaxTempNapa,avgMinTempNapa,avgMaxTempWalla,avgMinTempWalla,avgMaxTempColumbia,avgMinTempColumbia,avgMaxTempSonoma,avgMinTempSonoma,avgMaxTempSanta,avgMinTempSanta,avgMaxTempYakima,avgMinTempYakima,avgMaxTempDundee,avgMinTempDundee,avgMaxTempWillamette,avgMinTempWillamette
1992-01-02,56.0,33.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,55.0,40.0,40.0,32.0
1992-01-02,56.0,33.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,55.0,40.0,40.0,32.0
1992-01-02,56.0,33.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,55.0,40.0,40.0,32.0
1992-01-02,56.0,33.0,50.0,33.0,44.0,30.0,58.0,28.0,64.0,38.0,47.0,28.0,55.0,40.0,40.0,32.0
1992-01-03,56.0,33.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,52.0,41.0,41.0,32.0
1992-01-03,56.0,33.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,52.0,41.0,41.0,32.0
1992-01-03,56.0,33.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,52.0,41.0,41.0,32.0
1992-01-03,56.0,33.0,48.0,28.0,35.0,30.0,56.0,36.0,59.0,46.0,39.0,27.0,52.0,41.0,41.0,32.0
1992-01-04,58.0,36.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,52.0,41.0,35.0,28.0
1992-01-04,58.0,36.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,52.0,41.0,35.0,28.0
1992-01-04,58.0,36.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,52.0,41.0,35.0,28.0
1992-01-04,58.0,36.0,51.0,35.0,38.0,28.0,55.0,48.0,57.0,46.0,43.0,29.0,52.0,41.0,35.0,28.0
1992-01-05,58.0,44.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,45.0,39.0,42.0,29.0
1992-01-05,58.0,44.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,45.0,39.0,42.0,29.0
1992-01-05,58.0,44.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,45.0,39.0,42.0,29.0
1992-01-05,58.0,44.0,40.0,32.0,36.0,29.0,55.0,44.0,56.0,46.0,37.0,31.0,45.0,39.0,42.0,29.0
1992-01-06,54.0,43.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,46.0,38.0,31.0,24.0
1992-01-06,54.0,43.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,46.0,38.0,31.0,24.0
1992-01-06,54.0,43.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,46.0,38.0,31.0,24.0
1992-01-06,54.0,43.0,40.0,32.0,39.0,19.0,54.0,43.0,53.0,43.0,38.0,25.0,46.0,38.0,31.0,24.0
1992-01-07,51.0,40.0,34.0,28.0,31.0,14.0,53.0,42.0,52.0,41.0,37.0,19.0,49.0,32.0,37.0,19.0
1992-01-07,51.0,40.0,34.0,28.0,31.0,14.0,53.0,42.0,52.0,41.0,37.0,19.0,49.0,32.0,37.0,19.0
1992-01-07,51.0,40.0,34.0,28.0,31.0,14.0,53.0,42.0,52.0,41.0,37.0,19.0,49.0,32.0,37.0,19.0
1992-01-07,51.0,40.0,34.0,28.0,31.0,14.0,53.0,42.0,52.0,41.0,37.0,19.0,49.0,32.0,37.0,19.0
1992-01-08,49.0,33.0,38.0,26.0,29.0,15.0,55.0,31.0,59.0,35.0,35.0,19.0,51.0,31.0,49.0,22.0
1992-01-08,49.0,33.0,38.0,26.0,29.0,15.0,55.0,31.0,59.0,35.0,35.0,19.0,51.0,31.0,49.0,22.0
1992-01-08,49.0,33.0,38.0,26.0,29.0,15.0,55.0,31.0,59.0,35.0,35.0,19.0,51.0,31.0,49.0,22.0
1992-01-08,49.0,33.0,38.0,26.0,29.0,15.0,55.0,31.0,59.0,35.0,35.0,19.0,51.0,31.0,49.0,22.0
1992-01-09,56.0,29.0,35.0,27.0,34.0,16.0,53.0,28.0,64.0,34.0,37.0,23.0,51.0,35.0,56.0,35.0
1992-01-09,56.0,29.0,35.0,27.0,34.0,16.0,53.0,28.0,64.0,34.0,37.0,23.0,51.0,35.0,56.0,35.0
1992-01-09,56.0,29.0,35.0,27.0,34.0,16.0,53.0,28.0,64.0,34.0,37.0,23.0,51.0,35.0,56.0,35.0
1992-01-09,56.0,29.0,35.0,27.0,34.0,16.0,53.0,28.0,64.0,34.0,37.0,23.0,51.0,35.0,56.0,35.0
1992-01-10,54.0,32.0,46.0,28.0,33.0,25.0,44.0,36.0,60.0,36.0,35.0,23.0,50.0,34.0,44.0,28.0
